'Erecoil (keV)'    '68.75 keV inelastic'    'Erecoil (keV)'    'Erecoil (keV)'    'NR average'    'Erecoil (keV)'    '13.26 keV inelastic'    'Erecoil (keV)'    'threshold'    'Erecoil (keV)'    'NR low band'    'Erecoil (keV)'    'NR high band'    'Erecoil (keV)'
145                0.657573                 122.027            0.379555           113.698         0.4404             58.7317                  0.0511278          122.701        0.31546            74.0626          0.418096           16.7518           0.692547
145.714            0.65635                  123.065            0.380155           114.837         0.44032            60.5768                  0.0492304          123.728        0.316132           75.7407          0.419041           17.7805           0.709722
146.429            0.655143                 124.103            0.38075            115.976         0.440249           62.4401                  0.0480393          124.756        0.316796           77.4186          0.419995           18.9114           0.726603
147.144            0.65395                  125.141            0.381341           117.114         0.440187           64.301                   0.0466432          125.784        0.317454           79.0963          0.42096            20.1658           0.743077
147.86             0.652772                 126.179            0.381926           118.253         0.440135           66.1606                  0.0451383          126.812        0.318104           80.7737          0.421935           21.5984           0.758692
148.576            0.651609                 127.218            0.382507           119.392         0.440091           68.0219                  0.0437411          127.841        0.318748           82.4507          0.422922           23.1622           0.773638
149.292            0.650461                 128.256            0.383083           120.531         0.440057           69.8847                  0.0424453          128.869        0.319385           84.1275          0.42392            24.815            0.788227
150.009            0.649327                 129.294            0.383655           121.67          0.440031           71.7489                  0.0412446          129.898        0.320015           85.8038          0.42493            26.6418           0.801698
150.726            0.648206                 130.333            0.384222           122.809         0.440013           73.6143                  0.0401327          130.926        0.320639           87.4798          0.425953           28.59             0.814018
151.444            0.6471                   131.371            0.384785           123.948         0.440003           75.4807                  0.0391031          131.955        0.321256           89.1554          0.426989           30.6484           0.825247
152.162            0.646008                 132.41             0.385343           125.086         0.440002           77.348                   0.0381496          132.984        0.321867           90.8304          0.428038           32.8055           0.835445
152.881            0.644929                 133.448            0.385897           126.225         0.440008           79.2161                  0.0372658          134.014        0.322472           92.5076          0.428763           35.05             0.844674
153.6              0.643864                 134.487            0.386446           127.364         0.440022           81.0847                  0.0364453          135.043        0.32307            94.1796          0.429826           37.3704           0.852992
154.319            0.642812                 135.526            0.386991           128.503         0.440043           82.9537                  0.0356819          136.072        0.323663           95.8586          0.430268           39.7555           0.86046
155.039            0.641773                 136.564            0.387532           129.642         0.440072           84.823                   0.0349691          137.102        0.32425            97.5339          0.431194           42.1938           0.867138
155.759            0.640747                 137.603            0.388069           130.781         0.440107           86.6923                  0.0343007          138.132        0.324831           99.2095          0.432113           44.674            0.873086
156.479            0.639734                 138.642            0.388602           131.92          0.440149           88.5616                  0.0336703          139.161        0.325406           100.885          0.433027           47.1847           0.878365
157.2              0.638733                 139.681            0.38913            133.059         0.440198           90.4306                  0.0330716          140.191        0.325976           102.562          0.433935           49.7145           0.883035
157.921            0.637744                 140.72             0.389655           134.197         0.440254           92.298                   0.0322161          141.221        0.32654            104.238          0.434837           52.2521           0.887155
158.642            0.636768                 141.758            0.390175           135.336         0.440315           94.1649                  0.0312555          142.251        0.327099           105.915          0.435733           54.786            0.890787
159.364            0.635804                 142.797            0.390692           136.475         0.440383           96.0342                  0.0307935          143.282        0.327653           107.592          0.436623           57.3054           0.894774
160.086            0.634851                 143.836            0.391205           137.614         0.440456           97.9035                  0.0303131          144.312        0.328202           109.269          0.437506           59.8782           0.897418
160.808            0.63391                  144.875            0.391714           138.753         0.440536           99.7722                  0.0297311          145.342        0.328745           110.946          0.438384           62.4476           0.900217
161.531            0.632981                 145.914            0.39222            139.892         0.44062            101.643                  0.0295542          146.373        0.329284           112.624          0.439256           65.0203           0.902864
162.254            0.632063                 146.953            0.392721           141.031         0.44071            103.513                  0.0289733          147.403        0.329818           114.302          0.440122           67.5736           0.905252
162.978            0.631156                 147.992            0.393219           142.169         0.440805           105.383                  0.0284132          148.434        0.330348           115.98           0.440982           70.1431           0.907461
163.701            0.63026                  149.032            0.393714           143.308         0.440905           107.253                  0.0278732          149.465        0.330873           117.658          0.441836           72.7264           0.9095
164.425            0.629374                 150.071            0.394205           144.447         0.44101            109.123                  0.0273528          150.495        0.331393           119.337          0.442683           75.3204           0.911377
165.149            0.628499                 151.11             0.394692           145.586         0.441119           110.993                  0.0268513          151.526        0.331909           121.015          0.443525           77.9219           0.913097
165.874            0.627635                 152.149            0.395176           146.725         0.441232           112.863                  0.0263683          152.557        0.332421           122.694          0.444361           80.5277           0.914665
166.598            0.626781                 153.188            0.395657           147.864         0.441349           114.733                  0.025903           153.588        0.332929           124.373          0.445191           83.1347           0.916089
167.323            0.625937                 154.228            0.396134           149.002         0.441471           116.603                  0.0254549          154.619        0.333433           126.052          0.446015           85.7397           0.917372
168.049            0.625102                 155.267            0.396608           150.141         0.441596           118.474                  0.0250235          155.65         0.333933           127.732          0.446832           88.3394           0.918522
168.774            0.624278                 156.306            0.397079           151.28          0.441724           120.344                  0.024608           156.681        0.33443            129.411          0.447644           90.9308           0.919545
169.5              0.623462                 157.346            0.397547           152.419         0.441856           122.215                  0.024208           157.712        0.334923           131.091          0.44845            93.5107           0.920445
170.226            0.622657                 158.385            0.398011           153.558         0.441991           124.086                  0.0238229          158.744        0.335412           132.77           0.44925            96.0789           0.921995
170.952            0.62186                  159.425            0.398473           154.696         0.442129           125.956                  0.0234519          159.775        0.335898           134.45           0.450044           98.6709           0.922681
171.678            0.621072                 160.464            0.398931           155.835         0.44227            127.827                  0.0230947          160.806        0.33638            136.13           0.450831           101.262           0.92367
172.405            0.620293                 161.503            0.399387           156.974         0.442413           129.698                  0.0227504          161.837        0.336859           137.81           0.451613           103.859           0.92438
173.132            0.619523                 162.543            0.399839           158.112         0.442558           131.569                  0.0224187          162.869        0.337336           139.49           0.452389           106.458           0.925085
173.859            0.618761                 163.583            0.400289           159.251         0.442706           133.44                   0.0220988          163.9          0.337809           141.171          0.453159           109.057           0.925792
174.586            0.618007                 164.622            0.400736           160.39          0.442856           135.311                  0.0217902          164.931        0.33828            142.851          0.453923           111.655           0.926508
175.313            0.617261                 165.662            0.401181           161.529         0.443007           137.182                  0.0214923          165.963        0.338747           144.531          0.45468            114.253           0.92724
176.041            0.616523                 166.701            0.401622           162.667         0.44316            139.054                  0.0212046          166.994        0.339212           146.212          0.455432           116.848           0.927996
176.768            0.615793                 167.741            0.402061           163.806         0.443314           140.925                  0.0209263          168.025        0.339675           147.892          0.456178           119.444           0.928337
177.496            0.615071                 168.781            0.402498           164.945         0.44347            142.796                  0.0206569          169.057        0.340135           149.573          0.456918           122.042           0.928428
178.224            0.614355                 169.82             0.402932           166.083         0.443626           144.667                  0.0203959          170.088        0.340593           151.254          0.457652           124.63            0.929594
178.953            0.613647                 170.86             0.403363           167.222         0.443784           146.539                  0.0201426          171.119        0.341049           152.934          0.45838            127.227           0.929916
179.681            0.612946                 171.9              0.403792           168.36          0.443941           148.41                   0.0198965          172.15         0.341503           154.615          0.459101           129.825           0.930253
180.409            0.612252                 172.939            0.404219           169.499         0.4441             150.282                  0.0196569          173.182        0.341954           156.296          0.459817           132.423           0.930602
181.138            0.611564                 173.979            0.404643           170.638         0.444258           152.153                  0.0194233          174.213        0.342404           157.976          0.460527           135.02            0.930958
181.867            0.610883                 175.019            0.405065           171.776         0.444417           154.025                  0.019195           175.244        0.342853           159.657          0.461231           137.618           0.931319
182.595            0.610208                 176.059            0.405485           172.915         0.444575           155.896                  0.0189715          176.275        0.343299           161.338          0.461929           140.215           0.931679
183.324            0.609539                 177.099            0.405903           174.053         0.444733           157.768                  0.0187522          177.306        0.343744           163.018          0.46262            142.813           0.932036
184.053            0.608876                 178.139            0.406318           175.192         0.44489            159.639                  0.0185365          178.338        0.344188           164.699          0.463306           145.411           0.932386
184.783            0.608219                 179.178            0.406732           176.33          0.445047           161.511                  0.0183239          179.369        0.344631           166.38           0.463986           148.009           0.932725
185.512            0.607567                 180.218            0.407143           177.469         0.445202           163.382                  0.0181136          180.4          0.345072           168.06           0.46466            150.608           0.933049
186.241            0.606921                 181.258            0.407553           178.607         0.445357           165.254                  0.0179051          181.431        0.345512           169.741          0.465328           153.206           0.933355
186.971            0.60628                  182.298            0.407961           179.745         0.44551            167.126                  0.0176979          182.461        0.345952           171.421          0.46599            155.805           0.933638
187.7              0.605644                 183.338            0.408367           180.884         0.445661           168.997                  0.0174913          183.492        0.34639            173.102          0.466646           158.404           0.933896
188.43             0.605013                 184.378            0.408771           182.022         0.445811           170.869                  0.0172848          184.523        0.346828           174.782          0.467295           161.003           0.934124
189.159            0.604386                 185.418            0.409173           183.16          0.445959           172.74                   0.0170777          185.554        0.347265           176.462          0.467939           163.602           0.934318
189.889            0.603764                 186.458            0.409574           184.299         0.446105           174.612                  0.0168695          186.584        0.347702           178.142          0.468577           166.202           0.934475
190.618            0.603146                 187.498            0.409973           185.437         0.446248           176.483                  0.0166596          187.615        0.348138           179.822          0.469209           168.802           0.934592
191.348            0.602532                 188.538            0.41037            186.575         0.446389           178.355                  0.0164473          188.645        0.348574           181.502          0.469835           171.402           0.934664
192.078            0.601923                 189.578            0.410766           187.713         0.446527           180.227                  0.0162321          189.676        0.34901            183.182          0.470455           174.002           0.934725
192.808            0.601317                 190.618            0.411161           188.852         0.446662           182.098                  0.0160134          190.706        0.349446           184.862          0.471069           176.591           0.935741
